Name,Price,Rating,URL
HP Pavilion (2023) Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin and Light Laptop,Rs.71490,4.3,https://www.flipkart.com/hp-pavilion-2023-intel-core-i5-13th-gen-1340p-16-gb-512-gb-ssd-windows-11-home-15-eg3079tu-thin-light-laptop/p/itm4ae6958287d36?pid=COMGPYHAMPKQYPQB&lid=LSTCOMGPYHAMPKQYPQBGXMI6J&marketplace=FLIPKART&store=6bo&srno=b_1_1&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ0WkQwdR5ei7W94j5Trheo7KGUHhJESXRsGpW_2Qxz_lQ%3D%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
MSI Modern 15 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B13M-288IN Thin and Light Laptop,Rs.65990,4.4,https://www.flipkart.com/msi-modern-15-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-b13m-288in-thin-light-laptop/p/itm5d394e6d42697?pid=COMGMV6VGQXP9MDH&lid=LSTCOMGMV6VGQXP9MDHSLDMUX&marketplace=FLIPKART&store=6bo&srno=b_1_2&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ3UUfO5D7NGzu_ZEpwBzrMxXX9UTbXl5yz1Z-_Alrvc3g%3D%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Tata Sky 100% Original Universal (Works With All Tv) NOT A RECORDING REMOTE Tata Sky Setop Box Tata Sky box Tata Sky hd Remote Controller,Rs.149,4.1,https://www.flipkart.com/tata-sky-100-original-universal-works-all-tv-not-recording-remote-setop-box-hd-controller/p/itmf9vyhvcwqyfpt?pid=REMF9QXZGWMC8J6H&lid=LSTREMF9QXZGWMC8J6HKH3JEZ&marketplace=FLIPKART&store=6bo&srno=b_1_3&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.REMF9QXZGWMC8J6H.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Gangtok Hub Edge To Edge Tempered Glass for Dz09 Smartwatch [Screen Guard Only] _0.0428,Rs.197,,https://www.flipkart.com/gangtok-hub-edge-tempered-glass-dz09-smartwatch-screen-guard-only-0-0428/p/itma86754d0b1ab9?pid=ACCGNDY8MVZGPPNU&lid=LSTACCGNDY8MVZGPPNUMB0ENR&marketplace=FLIPKART&store=6bo&srno=b_1_4&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCGNDY8MVZGPPNU.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
HP U1 32 GB MicroSDHC Class 10 100 MB/s  Memory Card,Rs.319,4.2,https://www.flipkart.com/hp-u1-32-gb-microsdhc-class-10-100-mb-s-memory-card/p/itmf093c41d18c24?pid=ACCF5ZYFVZYTX6ZJ&lid=LSTACCF5ZYFVZYTX6ZJXNKYC3&marketplace=FLIPKART&store=6bo&srno=b_1_5&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCF5ZYFVZYTX6ZJ.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Ant Value FKBRI01 Wired USB Multi-device Keyboard,Rs.199,4.1,https://www.flipkart.com/ant-value-fkbri01-wired-usb-multi-device-keyboard/p/itm02c9e7bc64028?pid=ACCGGRDYPHNQMGUN&lid=LSTACCGGRDYPHNQMGUNZFL2RS&marketplace=FLIPKART&store=6bo&srno=b_1_6&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCGGRDYPHNQMGUN.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
BIYALI Travel Adapter Worldwide All in One Universal Power Wall Charger AC Power Plug Worldwide Adaptor,Rs.585,,https://www.flipkart.com/biyali-travel-adapter-worldwide-all-one-universal-power-wall-charger-ac-plug-adaptor/p/itm591a397bb564a?pid=WWAGXFXVCTSH5V6Q&lid=LSTWWAGXFXVCTSH5V6QECYSMM&marketplace=FLIPKART&store=6bo&srno=b_1_7&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.WWAGXFXVCTSH5V6Q.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
SAMSUNG T7 / 1050 Mbs / PCMacAndroid / PortableType C Enabled / 3Y Warranty / USB 3.2 2 TB External Solid State Drive (SSD),Rs.16449,4.5,https://www.flipkart.com/samsung-t7-1050-mbs-pc-mac-android-portable-type-c-enabled-3y-warranty-usb-3-2-2-tb-external-solid-state-drive-ssd/p/itm5f887dc2fbebb?pid=ACCFTZGRGMFXHSBG&lid=LSTACCFTZGRGMFXHSBGWVXCUU&marketplace=FLIPKART&store=6bo&srno=b_1_8&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ32SLkfKtIcJ6rg_ybWQtXuFyo2BnSxc7oEWtBEsu4uWRhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
SAMSUNG Evo Plus 128 GB MicroSDXC Class 10 130 MB/s  Memory Card,Rs.1019,4.4,https://www.flipkart.com/samsung-evo-plus-128-gb-microsdxc-class-10-130-mb-s-memory-card/p/itmf7bd9053e39b2?pid=ACCG9NPXBYFFFH2V&lid=LSTACCG9NPXBYFFFH2VQIQBES&marketplace=FLIPKART&store=6bo&spotlightTagId=BestsellerId_6bo&srno=b_1_9&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCG9NPXBYFFFH2V.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
ZEBRONICS K-35 Wired USB Multi-device Keyboard,Rs.289,4,https://www.flipkart.com/zebronics-k-35-wired-usb-multi-device-keyboard/p/itmc669b0a5a744a?pid=ACCFW55BZYMSQRW7&lid=LSTACCFW55BZYMSQRW7DODN0U&marketplace=FLIPKART&store=6bo&srno=b_1_10&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCFW55BZYMSQRW7.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
SAMSUNG MU-PG2T0B/WW / T9 Portable USB 3.2 Gen 2x2 up to 2000 MB/s Read Speed 2 TB External Solid State Drive (SSD),Rs.18499,4.2,https://www.flipkart.com/samsung-mu-pg2t0b-ww-t9-portable-usb-3-2-gen-2x2-up-2-000-mb-s-read-speed-2-tb-external-solid-state-drive-ssd/p/itm191538923df50?pid=ACCGUFSFBGPGZXU3&lid=LSTACCGUFSFBGPGZXU3YOCBIN&marketplace=FLIPKART&store=6bo&srno=b_1_11&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ0A22vHvjHN9rX84en4Dug8vNM-GiJcUWbI5ysjwh_OdH3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
